Topics,Definition
Data,"Data are units of information, often numeric, that are collected through observation."
Decision Making,"decision-making is regarded as the cognitive process resulting in the selection of a belief or a course of action among several possible alternative options, it could be either rational or irrational."
Delegation,"Delegation is the assignment of authority to another person (normally from a manager to a subordinate) to carry out specific activities. It is the process of distributing and entrusting work to another person. Delegation is one of the core concepts of management leadership. The process involves managers deciding which work they should do themselves and which work should be delegated to others for completion. From a managerial standpoint, delegation involves shifting project responsibility to team members, giving them the opportunity to finalize the work product effectively, with minimal intervention. Delegation empowers a subordinate to make decisions."
Demographics,"Demographic analysis is the study of a population based on factors such as age, race, and sex. Demographic data refers to socioeconomic information expressed statistically including employment, education, income, marriage rates, birth and death rates, and more."
Design,"a plan or drawing produced to show the look and function or workings of a building, garment, or other object before it is made."
Developing Employees,"Process of working with employees to improve, enhance, refine and hone existing skills, and to also develop newer ones, in support of the organization’s mission and goals"
Difficult Conversations,"A difficult conversation is any situation where the needs/wants, opinions or perceptions of the involved parties are diverse, with their feelings and emotions running strong."
Disruptive Innovation,"disruptive innovation is an innovation that creates a new market and value network and eventually disrupts an existing market and value network, displacing established market-leading firms, products, and alliances."
Diversity,"Diversity is the range of human differences, including but not limited to race, ethnicity, gender, gender identity, sexual orientation, age, social class, physical ability or attributes, religious or ethical values system, national origin, and political beliefs."
Downsizing,"Downsizing is the permanent reduction of a company's labor force through the elimination of unproductive workers or divisions. Downsizing is a common organizational practice, usually associated with economic downturns and failing businesses."
Economic Development,"Economic Development is the creation of wealth from which community benefits are realized. It is more than a jobs program, it's an investment in growing your economy and enhancing the prosperity and quality of life for all residents."
Economics,"Economics is the social science that studies how people interact with value; in particular, the production, distribution, and consumption of goods and services. Economics focuses on the behaviour and interactions of economic agents and how economies work."
Economics & Society,"Society is an entity composed of individuals, groups, and organizations. seeking to stay together by sharing traditions, values, languages, interests, and. other things. An economy is a space within which most members of society. interact with each other and with their environment to improve the quality."
Economy,"An economy is an area of the production, distribution and trade, as well as consumption of goods and services by different agents. In general, it is defined 'as a social domain that emphasize the practices, discourses, and material expressions associated with the production, use, and management of resources'."
Education,"Education is the process of facilitating learning, or the acquisition of knowledge, skills, values, morals, beliefs, and habits."
Emerging Markets,the economy of a developing nation that is becoming more engaged with global markets as it grows
Emotional Intelligence,"is the ability to understand, use, and manage your own emotions in positive ways to relieve stress, communicate effectively, empathize with others, overcome challenges and defuse conflict or refers to the capability of a person to manage and control his or her emotions and possess the ability to control the emotions of others as well. In other words, they can influence the emotions of other people also."
Employee Retention,"Employee retention refers to the ability of an organization to retain its employees. Employee retention can be represented by a simple statistic. However, many consider employee retention as relating to the efforts by which employers attempt to retain the employees in their workforce."
Entrepreneurial Finance,"it is the study of value and resource allocation, applied to new ventures. It addresses key questions which challenge all entrepreneurs: how much money can and should be raised; when should it be raised and from whom; what is a reasonable valuation of the startup; and how should funding contracts and exit decisions be structured."
Entrepreneurial Management,practice of taking entrepreneurial knowledge and utilizing it for increasing the effectiveness of new business venturing as well as small- and medium-sized businesses.
Entrepreneurship,"Entrepreneurship is the creation or extraction of value. With this definition, entrepreneurship is viewed as change, generally entailing risk beyond what is normally encountered in starting a business, which may include other values than simply economic ones."
Ethics,moral principles that govern a person's behaviour or the conducting of an activity.
Executive Compensation,Executive compensation is composed of both the financial compensation and other non-financial benefits received by an executive from their employing firm in return for their service.
Experimentation,"An experiment is a procedure carried out to support, refute, or validate a hypothesis. Experiments provide insight into cause-and-effect by demonstrating what outcome occurs when a particular factor is manipulated."
Finance & Accounting,"Financial accounting is the field of accounting concerned with the summary, analysis and reporting of financial transactions related to a business. This involves the preparation of financial statements available for public use."
Financial Analysis,"the process of evaluating businesses, projects, budgets, and other finance-related transactions to determine their performance and suitability. Typically, financial analysis is used to analyze whether an entity is stable, solvent, liquid, or profitable enough to warrant a monetary investment."
Financial Management,"means planning, organizing, directing and controlling the financial activities such as procurement and utilization of funds of the enterprise. It means applying general management principles to financial resources of the enterprise."
Financial Markets,"refer broadly to any marketplace where the trading of securities occurs, including the stock market, bond market, forex market, and derivatives market, among others."
Firing,"Termination of employment is an employee's departure from a job and the end of an employee's duration with an employer. Termination may be voluntary on the employee's part, or it may be at the hands of the employer, often in the form of dismissal or a layoff."
Forecasting,It is a technique that uses historical data as inputs to make informed estimates that are predictive in determining the direction of future trends. 
Founders,someone who establishes an organization
Gender,"either of the two sexes (male and female), especially when considered with reference to social and cultural differences rather than biological ones. The term is also used more broadly to denote a range of identities that do not correspond to established ideas of male and female."
Generational Issues,"Differences and disconnect between generations, or the generation gap, can result in a variety of issues, such as miscommunication and family strife."
Giving Feedback,"Feedback is a way of learning for each and every person of the organization. It is a two-way process in which everyone tries to learn something positive from the other person's suggestions. It is all about mutual understanding, respecting each other's opinions, and learning something from each other's experiences."
Global Strategy,A global strategy is one that a company takes when it wants to compete and expand in the global market
Globalization,"Globalization, or globalisation is the process of interaction and integration among people, companies, and governments worldwide. Globalization has accelerated since the 18th century due to advances in transportation and communication technology. This increase in global interactions has caused a growth in international trade and the exchange of ideas, beliefs, and culture. Globalization is primarily an economic process of interaction and integration that is associated with social and cultural aspects. "
Government,"A government is the system or group of people governing an organized community, generally a state. In the case of its broad associative definition, government normally consists of legislature, executive, and judiciary."
Growth Strategy,A growth strategy is an organization's plan for overcoming current and future challenges to realize its goals for expansion
Health,"Health is a state of physical, mental and social well-being in which disease and infirmity are absent."
Hiring,"Refers to the overall process of identifying, attracting, screening, shortlisting, and interviewing suitable candidates for jobs within an organization. Recruitment can also refer to processes involved in choosing individuals for unpaid roles."
Human Resource Management,Human resource management is the strategic approach to the effective management of people in a company or organization such that they help their business gain a competitive advantage. It is designed to maximize employee performance in service of an employer's strategic objectives.
Influence,"the capacity to have an effect on the character, development, or behaviour of someone or something, or the effect itself."
Informal Leadership,"An informal leader is an individual within an organization who is worth listening to because of their perceived experience and reputation among peers. They influence the decisions of others, although they hold no formal position of authority and have no power over those who choose to follow their lead."
Innovation,Innovation is the practical implementation of ideas that result in the introduction of new goods or services or improvement in offering goods or services.
Intellectual Property,"Intellectual property is a category of property that includes intangible creations of the human intellect. There are many types of intellectual property, and some countries recognize more than others. The most well-known types are copyrights, patents, trademarks, and trade secrets."
International Business,"International business refers to the trade of goods, services, technology, capital and/or knowledge across national borders and at a global or transnational scale. It involves cross-border transactions of goods and services between two or more countries."
Internet,"The Internet is a vast network that connects computers all over the world. Through the Internet, people can share information and communicate from anywhere with an Internet connection."
IPO,An initial public offering or stock market launch is a public offering in which shares of a company are sold to institutional investors and usually also retail investors.
IT,"It refers to anything related to computing technology, such as networking, hardware, software, the Internet, or the people that work with these technologies."
Job Search,"It is the act of looking for employment, due to unemployment, underemployment, discontent with a current position, or a desire for a better position."
Joint Ventures,"A joint venture is a business entity created by two or more parties, generally characterized by shared ownership, shared returns and risks, and shared governance"
Knowledge Management,"Knowledge management is the process of creating, sharing, using and managing the knowledge and information of an organization. It refers to a multidisciplinary approach to achieve organisational objectives by making the best use of knowledge."
Labor,"Labor, usually referred to as paid work, paid employment, or paid labour, refers to the socioeconomic relationship between a worker and an employer in which the worker sells their labour power under a formal or informal employment contract."
Leadership,"Leadership is both a research area, and a practical skill encompassing the ability of an individual, group or organization to ""lead"", influence or guide other individuals, teams, or entire organizations."
Leadership & Managing People,"A practical skill encompassing the ability of an individual, group or organization to ""lead"", influence or guide other individuals, teams, or entire organizations. Managing people is the ability to understand and know what each of their subordinate employee's tasks are and how to work with each employee in working toward successful completion of such tasks."
Leadership Development,"Leadership development is the process which helps expand the capacity of individuals to perform in leadership roles within organizations. Leadership roles are those that facilitate execution of an organization's strategy through building alignment, winning mindshare and growing the capabilities of others"
Leadership Transitions,"significant change in a leader's role caused by promotion, secondment, changing organisations, merger, acquisition, restructure or returning from maternity/paternity/career leave."
Leading Teams,"Leading teams involves providing guidance, instruction, direction and leadership to a group of individuals (the team) for the purpose of achieving a key result or group of aligned results. "
Managing Organizations,Organization management refers to the art of getting people together on a common platform to make them work towards a common predefined goal. Organization management enables the optimum use of resources through meticulous planning and control at the workplace.
Managing People,"People management is the process of training, motivating and directing employees to optimize workplace productivity and promote professional growth. Workplace leaders, such as team leads, managers and department heads use people management to oversee workflow and boost employee performance every day."
Managing Uncertainty,"Management of Uncertainty examines the necessity of living with technical and organizational uncertainties, or even taking advantage of them without losing the stability created by reducing uncertainty."
Managing Up,"Being the most effective employee you can be, creating value for your boss and your company."
Managing Yourself,"learning how to work with others in a productive and profitable way. It also means being focused on making your practice more profitable, keeping your clients happy, and doing excellent work. This takes constant self-monitoring and self-managing."
Manufacturing,"Manufacturing is the production of goods through the use of labor, machines, tools, and chemical or biological processing or formulation. It is the essence of secondary sector of the economy."
Market Research,"Market research is an organized effort to gather information about target markets and customers: know about them, starting with who they are. It is a very important component of business strategy and a major factor in maintaining competitiveness."
Marketing,"Marketing refers to activities a company undertakes to promote the buying or selling of a product, service, or good. It is one of the primary components of business management and commerce."
Meetings,"A meeting is when two or more people come together to discuss one or more topics, often in a formal or business setting, but meetings also occur in a variety of other environments."
Mergers & Acquisitions,"In corporate finance, mergers and acquisitions are transactions in which the ownership of companies, other business organizations, or their operating units are transferred or consolidated with other entities."
Mobile,"Mobile phone, cellular phone, cell phone, cellphone, handphone, or hand phone, sometimes shortened to simply mobile, cell or just phone, is a portable telephone that can make and receive calls over a radio frequency link while the user is moving within a telephone service area."
Motivating People,Motivation is about moving people to act in a way that achieves a specific and immediate goal.
National Competitiveness,"The concept “national competitiveness” examines the ability of a national economy to grow. It is measured by a set of factors, policies, and institutions that determine a country's level of productivity."
Negotiations,Negotiation is a dialogue between two or more people or parties intended to reach a beneficial outcome over one or more issues where a conflict exists with respect to at least one of these issues.
Networking,"Networking is a socioeconomic business activity by which businesspeople and entrepreneurs meet to form business relationships and to recognize, create, or act upon business opportunities, share information and seek potential partners for ventures."
Operations,"The outcome of business operations is the harvesting of value from assets owned by a business. Assets can be either physical or intangible. An example of value derived from a physical asset, like a building, is rent. An example of value derived from an intangible asset, like an idea, is a royalty."
Operations Management,"it is primarily concerned with planning, organizing and supervising in the contexts of production, manufacturing or the provision of services."
Organizational Culture,"It is the collection of values, expectations, and practices that guide and inform the actions of all team members. Think of it as the collection of traits that make your company what it is."
Organizational Structure,"It is a way or method by which. organizational activities are divided, organized and coordinated. The organizations created the structures to coordinate the. activities of work factors and control the member performance. Organizational structure is shown in organizational chart."
Performance Measurement,"Performance measurement is the process of collecting, analyzing and/or reporting information regarding the performance of an individual, group, organization, system or component."
Personnel Policies,"They are the rules that govern how to deal with a human resources or personnel related situation. They are guidelines to decision making that help keep the system as fair and unbiased as possible.
"
Policy,"A policy is a deliberate system of principles to guide decisions and achieve rational outcomes. A policy is a statement of intent, and is implemented as a procedure or protocol."
Presentations,"A presentation conveys information from a speaker to an audience. Presentations are typically demonstrations, introduction, lecture, or speech meant to inform, persuade, inspire, motivate, build goodwill, or present a new idea/product."
Pricing,"Pricing is the process whereby a business sets the price at which it will sell its products and services, and may be part of the business's marketing plan."
Product Development,Product development typically refers to all of the stages involved in bringing a product from concept or idea through market release and beyond.
Productivity,"Productivity is the efficiency of production of goods or services expressed by some measure. Measurements of productivity are often expressed as a ratio of an aggregate output to a single input or an aggregate input used in a production process, i.e. output per unit of input, typically over a specific period of time."
Professional Transitions,Refers to the process by which an individual changes from one job to another within the same job family; and it may also refer to a more dramatic career change from one occupational category to an entirely different one.
Project Management,It is the process of leading the work of a team to achieve goals and meet success criteria at a specified time.
Psychology,"Psychology is the science of mind and behavior. Psychology includes the study of conscious and unconscious phenomena, as well as feeling and thought. It is an academic discipline of immense scope."
Public Relations,the professional maintenance of a favourable public image by a company or other organization or a famous person.The state of the relationship between a company or other organization or a famous person and the public.
Public-Private Partnerships,"A public–private partnership is a cooperative arrangement between two or more public and private sectors, typically of a long-term nature. In other words, it involves government and business that work together to complete a project and/or to provide services to the population"
Race,A race is a grouping of humans based on shared physical or social qualities into categories generally viewed as distinct by society
Receiving Feedback,"This means not interrupting. Hear the person out, and listen to what they are really saying, not what you assume they will say."
Recession,"a period of temporary economic decline during which trade and industrial activity are reduced, generally identified by a fall in GDP in two successive quarters."
Regulation,"Regulation is the management of complex systems according to a set of rules and trends. In systems theory, these types of rules exist in various fields of biology and society, but the term has slightly different meanings according to context."
Reorganization,the action or process of changing the way in which something is organized.
Research & Development,"Research and development, known in Europe as research and technological development, is the set of innovative activities undertaken by corporations or governments in developing new services or products and improving existing ones."
Retirement,Retirement is the withdrawal from one's position or occupation or from one's active working life. A person may also semi-retire by reducing work hours or workload. Many people choose to retire when they are old or incapable of doing their job.
Risk Management,"Risk management is the identification, evaluation, and prioritization of risks followed by coordinated and economical application of resources to minimize, monitor, and control the probability or impact of unfortunate events or to maximize the realization of opportunities."
Sales,Sales are activities related to selling or the number of goods sold in a given targeted time period. The delivery of a service for a cost is also considered a sale
Sales & Marketing,"Sales include “operations and activities involved in promoting and selling goods or services.” Marketing includes “the process or technique of promoting, selling, and distributing a product or service.”"
Security & Privacy,"Security is about the safeguarding of data, whereas privacy is about the safeguarding of user identity."
Sexual Orientation,"Sexual orientation is an enduring pattern of romantic or sexual attraction to persons of the opposite sex or gender, the same sex or gender, or to both sexes or more than one gender."
Shared Value,organizational values that are usually developed by the organization's leadership and then adopted by the other members of the organization. The values are shared and followed by all members of the organization when acting on behalf of the organization
Social Enterprise,"Social enterprises are businesses that trade to intentionally tackle social problems, improve communities, provide people access to employment and training, or help the environment."
Social Platforms,"Social media are interactive technologies that allow the creation or sharing/exchange of information, ideas, career interests, and other forms of expression via virtual communities and networks"
Social Responsibility,Social responsibility is an ethical framework and suggests that an individual has an obligation to work and cooperate with other individuals and organizations for the benefit of society at large.
Strategic Planning,"Strategic planning is an organization's process of defining its strategy, or direction, and making decisions on allocating its resources to pursue this strategy. It may also extend to control mechanisms for guiding the implementation of the strategy."
Strategic Thinking,Strategic thinking is defined as a mental or thinking process applied by an individual in the context of achieving a goal or set of goals in a game or other endeavor.
Strategy,Strategy is a general plan to achieve one or more long-term or overall goals under conditions of uncertainty.
Strategy Execution,"it is the implementation of a strategic plan in an effort to reach organizational goals. It comprises the daily structures, systems, and operational goals that set your team up for success."
Stress,"stress is a feeling of emotional strain and pressure. Stress is a type of psychological pain. Small amounts of stress may be desired, beneficial, and even healthy. Excessive amounts of stress, however, may lead to bodily harm. Stress can be external and related to the environment, but may also be caused by internal perceptions that cause an individual to experience anxiety or other negative emotions surrounding a situation, such as pressure, discomfort, etc., which they then deem stressful."
Succession Planning,"Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave, retire or die. Here the planning is usually a close process, so that those who have been selected are not likely to know that they are on a succession list or chat."
Supply Chain,the sequence of processes involved in the production and distribution of a commodity.
Sustainability,Sustainability is the capacity to maintain in an ongoing way across various domains of life.
Talent Management,Talent management refers to the anticipation of required human capital for an organization and the planning to meet those needs.
Technology,"Technology is the sum of techniques, skills, methods, and processes used in the production of goods or services or in the accomplishment of objectives, such as scientific investigation."
Time Management,"Time management is the process of planning and exercising conscious control of time spent on specific activities, especially to increase effectiveness, efficiency, and productivity."
Transparency,"Transparency, as used in science, engineering, business, the humanities and in other social contexts, is operating in such a way that it is easy for others to see what actions are performed. Transparency implies openness, communication, and accountability."
Venture Capital,"Venture capital is a form of private equity financing that is provided by venture capital firms or funds to startups, early-stage, and emerging companies that have been deemed to have high growth potential or which have demonstrated high growth."
Work-Life Balance,Work–life balance is the equilibrium between personal life and career work
Workspaces,"Workspace refers to small premises provided, often by local authorities or economic development agencies, to help new businesses to establish themselves. These typically provide not only physical space and utilities but also administrative services and links to support and finance organizations, as well as peer support among the tenants. A continuum of sophistication ranges through categories such as 'managed workspaces', 'business incubators' and 'business and employment co-operatives'. In cities, they are often set up in buildings that are disused but which the local authority wishes to retain as a landmark. At the larger end of the spectrum are business parks, virtual offices, technology parks and science parks."
