,Human Labels,,,,,,,Topics from different Embeddings,,,,
"Neville recommends at the end of every day, before you go to sleep, to think through the events of the day. If any events or moments did not go the way you wanted, replay them in your mind in a way that thrills you. As you recreate those events in your mind exactly as you want, you are cleaning up your frequency from the day and you are emitting a new signal and frequency for tomorrow. You have intentionally created new picture for your future. It is never too late to change the pictures.",ethics,productivity,behavioural science,health,psychology,ledership,self growth,,,,,
"“The Henry Ford of the late 20th century was Bill Gates. Just as Ford revolutionised the transportation industry by creating a car that almost anyone could afford and drive, Bill Gates transformed the computer industry by designing software that enabled everybody - not just the specialised technocrats - to be able to use computers, and later making the personal computer a virtual necessity in every office, school and home. This resulted in Bill Gates accruing billions of dollars and becoming the richest man in America.”",founders,It,design,market,leadership,,,,,,,
"faith is the starting point of all accumulation of riches! faith is the basis of all “miracles,” and all mysteries which cannot be analyzed by the rules of science! faith is the only known antidote for failure! faith is the element, the “chemical” which, when mixed with prayer, gives one direct communication with Infinite Intelligence. faith is the element which transforms the ordinary vibration of thought, created by the finite mind of man, into the spiritual equivalent. faith is the only agency through which the cosmic force of Infinite Intelligence can be harnessed and used by man.",communication,spirituality,behavioral science,,,,,,,,,
"The process is simple and it involves using a piece of poster board plus different magazines, drawings, printouts of inspirational words, and glue. Cut out pictures and drawings that appeal to you and glue them to the board.Place the completed vision board in a location where it can be viewed several times a day.Vision boards can have different functions- They can be goal-oriented, or theme-related (a travel destination) or intuitive (you're not sure what you want so you just tear out pictures that appeal to you). Spend a few minutes sitting still and thinking about your intention before starting the creative process.",Self Improvement,,,,,,,,,,,
"We believe that we can change the things around us in accordance with our desires—we believe it because otherwise we can see no favourable outcome. We do not think of the outcome which generally comes to pass and is also favourable: we do not succeed in changing things in accordance with our desires, but gradually our desires change. The situation that we hoped to change because it was intolerable becomes unimportant to us. We have failed to surmount the obstacle, as we were absolutely determined to do, but life has taken us round it, led us beyond it, and then if we turn round to gaze into the distance of the past, we can barely see it, so imperceptible has it become.",ethics,psychology,behavioural science,leadership,managing up,,,,,,,
"There is some talk in science and popular culture about colonizing other planets, such as Mars or the moon. Part of this is just human nature: we are curious, exploring creatures. The idea of taming a new frontier has a compelling, even romantic, pull, like that of the moon itself. But the idea also provides rationalization for destruction, an expression of our hope that we’ll find a way to save ourselves if we trash our planet. To this speculation, we would respond: If you want the Mars experience, go to Chile and live in a typical copper mine. There are no animals, the landscape is hostile to humans, and it would be a tremendous challenge. Or, for a moonlike effect, go to the nickel mines of Ontario. Seriously,",diversity,communication,crisis communication,behavioral science,,,,,,,,
"The law of auto-suggestion, through which any person may rise to altitudes of achievement which stagger the imagination, is well described in the following verse: ""If you think you are beaten, you are, If you think you dare not, you don't If you like to win, but you think you can't, It is almost certain you won't. ""If you think you'll lose, you're lost For out of the world we find, Success begins with a fellow's will-It's all in the state of mind. ""If you think you are outclassed, you are, You've got to think high to rise, You've got to be sure of yourself before You can ever win a prize. ""Life's battles don't always go To the stronger or faster man, But sooner or later the man who wins Is the man WHO THINKS HE CAN!",ethics,behavioural science,Emotional Intelligence,,,,,,,,,
"First, the huge United States Steel Corporation was born in the mind of Charles M. Schwab, in the form of an IDEA he created through his IMAGINATION! Second, he mixed FAITH with his IDEA. Third, he formulated a PLAN for the transformation of his IDEA into physical and financial reality. Fourth, he put his plan into action with his famous speech at the University Club. Fifth, he applied, and followed-through on his PLAN with PERSISTENCE, and backed it with firm DECISION until it had been fully carried out. Sixth, he prepared the way for success by a BURNING DESIRE for success. If you are one of those who have often wondered how great fortunes are accumulated, this story of the creation of the United States Steel Corporation will be enlightening.",founders,decision making,market,Financial Management,,,,,,,,
"A lot of people feel like they’re victims in life, and they’ll often point to past events, perhaps growing up with an abusive parent or in a dysfunctional family. Most psychologists believe that about 85 percent of families are dysfunctional, so all of a sudden you’re not so unique. My parents were alcoholics. My dad abused me. My mother divorced him when I was six…I mean, that’s almost everybody’s story in some form or not. The real question is, what are you going to do now? What do you choose now? Because you can either keep focusing on that, or you can focus on what you want. And when people start focusing on what they want, what they don’t want falls away, and what they want expands, and the other part disappears.",ethics,generational issues,behavioural science,productivity,psychology,,,,,,,
"With the Information Age, globalization went into overdrive. Advances in computer and communications technology launched a new global era and redefined what it meant to be “connected.” Modern communications satellites meant the 1964 Summer Olympics in Tokyo could be watched in the United States for the first time. The World Wide Web and the Internet allowed someone in Germany to read about a breaking news story in Bolivia in real time. Someone wishing to travel from Boston, Massachusetts, to London, England, could do so in hours rather than the week or more it would have taken a hundred years ago. This digital revolution massively impacted economies across the world as well: they became more information-based and more interdependent. In the modern era, economic success or failure at one focal point of the global web can be felt in every major world economy.",Globalization,Technology,Economics,Emerging Markets,,,,,,,,
"Transitioning To Digital Leadership
Rethink the organization’s leadership model to include the concepts of innovation, growth, inclusion, teamwork, and collaboration.
Identify the likely digital leaders in the organization: Determine who can be the investors, pioneers, and transformers. 
Train potential leaders to understand the opportunity. Promote younger people into leadership faster.
Foster risk-taking and experimentation through leadership strategy. 
Move beyond traditional leadership training: Focus on leadership strategy, emphasizing culture, empowerment, risk-taking, knowledge sharing, exposure, matrix management, and building talent as guides.",Leadership Development,Leadership Transitions,Coaching,Strategy,Managing Organizations,Leadership & Managing People,,,,,,
"Bass also suggested that there were four different components of transformational leadership.Individualized Consideration: Intellectual Stimulation: Transformational leaders not only challenge the status quo; they also encourage creativity among followers. The leader encourages followers to explore new ways of doing things and new opportunities to learn. Transformational leadership also involves offering support and encouragement to individual followers. In order to foster supportive relationships, transformational leaders keep lines of communication open so that followers feel free to share ideas and so that leaders can offer direct recognition of the unique contributions of each follower.Inspirational Motivation: Transformational leaders have a clear vision that they are able to articulate to followers. These leaders are also able to help followers experience the same passion and motivation to fulfill these goals.
Idealized Influence: The transformational leader serve as a role model for followers. Because followers trust and respect the leader, they emulate this individual and internalize his or her ideals.",Leadership,Leadership Transitions,Communication,Motivating People,Influence,,,,,,,
"Psychology, mental health in particular, is one of the more recent areas of focus for AI. As AI lengthens its reach, it is becoming increasingly crucial for psychologists, therapists, and counselors to understand the existing capacity and future potential for the technology to transform mental healthcare. Luxton (2014) says that AI can simulate a practitioner, with capabilities beyond its human counterpart.
Indeed, the following examples of advanced technology perceive beyond our human senses to assess patients (Luxton, 2014):
Infrared imaging to recognize temperature changes
Facial recognition to confirm a patient’s identity
Optical sensing to analyze facial expression and eye blinking
Vocal analysis to perceive subtle differences in speech characteristics
Olfaction (smell) analysis to identify intoxication",Technology,Psychology,Technology,Innovation,Research and Development,,,,,,,
"Balance is the concept of visual equilibrium, and relates to our physical sense of balance. It is a reconciliation of opposing forces in a composition that results in visual stability. Most successful compositions achieve balance in one of two ways: symmetrically or asymmetrically. Balance in a three dimensional object is easy to understand; if balance isn't achieved, the object tips over. To understand balance in a two dimensional composition, we must use our imaginations to carry this three dimensional analogy forward to the flat surface. Symmetrical balance can be described as having equal ""weight"" on equal sides of a centrally placed fulcrum. It may also be referred to as formal balance. When the elements are arranged equally on either side of a central axis, the result is Bilateral symmetry. This axis may be horizontal or vertical. It is also possible to build formal balance by arranging elements equally around a central point, resulting in radial symmetry. There is a variant of symmetrical balance called approximate symmetry in which equivalent but not identical forms are arranged around the fulcrum line. Asymmetrical balance, also called informal balance, is more complex and difficult to envisage. It involves placement of objects in a way that will allow objects of varying visual weight to balance one another around a fulcrum point. This can be best imagined by envisioning a literal balance scale that can represent the visual ""weights"" that can be imagined in a two dimensional composition.
",Design,Principles,Creativity,Innovation,Balance,,,,,,,
"Money supply and interest rates are two of the major factors that affect demand for a currency. Both can be controlled by governments and their central banks, which use them as tools to manipulate their economy and their domestic currency.
In the UK, the Bank of England sets the official interest rate, known as the Bank of England base rate, which in turn influences the interest rate when you borrow money. The base rate is currently 0.1%, which is a historic low – in November 1979 it reached a peak of 17%.
The money supply means just what it says – it’s the total amount of money that’s in circulation in a country. If there’s a higher amount of a currency floating around, the value of that currency will decrease against foreign currencies and the exchange rate will dip. High money supply is also linked to low interest rates (again, because a larger supply means lower demand).
Lower interest rates, in turn, also tend to make a currency drop in value – because investors get low returns on investments in that currency. This may make low interest rates seem like bad news. But there’s another, longer-term angle that explains why governments may choose to lower interest rates: low rates mean that people borrow more and spend more, which should make the economy grow.
",Currency,Interpersonal Relations,Government,Globalization,Global Strategy,,,,,,,
"Strategy has been the primary building block of competitiveness over the past three decades, but in the future, the quest for sustainable advantage may well begin with the business model. While the convergence of information and communication technologies in the 1990s resulted in a short-lived fascination with business models, forces such as deregulation, technological change, globalization, and sustainability have rekindled interest in the concept today. Since 2006, the IBM Institute for Business Value’s biannual Global CEO Study has reported that senior executives across industries regard developing innovative business models as a major priority. A 2009 follow-up study reveals that seven out of 10 companies are engaging in business-model innovation, and an incredible 98% are modifying their business models to some extent. Business model innovation is undoubtedly here to stay. That isn’t surprising. The pressure to crack open markets in developing countries, particularly those at the middle and bottom of the pyramid, is driving a surge in business-model innovation. The economic slowdown in the developed world is forcing companies to modify their business models or create new ones. In addition, the rise of new technology-based and low-cost rivals is threatening incumbents, reshaping industries, and redistributing profits. Indeed, the ways by which companies create and capture value through their business models is undergoing a radical transformation worldwide.
",Business Model,Strategic Planning,Succession Planning,Innovation,Sustainibility,,,,,,,
"Awareness. An effort to build awareness of a product or service is the first step in the sales process. A successful awareness-building effort may help a prospect recognize a brand or product name or may ensure a company makes the shortlist for purchasing consideration.

Engagement. Engagement efforts build on an initial awareness campaign to deepen a consumer’s connection to a company or product. Marketing materials aimed at engagement may be longer (e.g. a whitepaper or video) compared to a more superficial awareness piece (e.g. direct mailer or radio advertisement).

Conversion. A conversion is the critical transition of a potential customer from an anonymous person to a known lead. For marketing teams, a conversion may be the completion of a web form, the instigation of a web chat, or a phone call to a customer service line.

Retention. Even after a purchase, a marketing team can help a business grow its repeat customers. The retention function of marketing helps maintain awareness and engagement after a sale. This may include email newsletters or invitations to webinars that help a consumer get more value from a product. The retention function of marketing is especially critical for subscription services.",Sales & Marketing,Communication,Sales,Customer Service,,,,,,,,
"
experts define a business model by specifying the main characteristics of a good one. For example, Harvard Business School’s Clay Christensen suggests that a business model should consist of four elements: a customer value proposition, a profit formula, key resources, and key processes. Such descriptions undoubtedly help executives evaluate business models, but they impose preconceptions about what they should look like and may constrain the development of radically different ones.
Our studies suggest that one component of a business model must be the choices that executives make about how the organization should operate—choices such as compensation practices, procurement contracts, location of facilities, extent of vertical integration, sales and marketing initiatives, and so on. Managerial choices, of course, have consequences. For instance, pricing (a choice) affects sales volume, which, in turn, shapes the company’s scale economies and bargaining power (both consequences). These consequences influence the company’s logic of value creation and value capture, so they too must have a place in the definition. In its simplest conceptualization, therefore, a business model consists of a set of managerial choices and the consequences of those choices.
",Business Model,Managing Organizations,Customer Service,Strategy,,,,,,,,
"Facebook, Amazon, Google, and other tech companies will inadvertently give rise to an ethical revolution in behavior scientists. The American Psychological Association’s formal code of ethics, developed shortly after the Nuremberg Code was written in response to the scientific atrocities of World War II, focuses mainly on academic research and clinical practice. But today psychologists do much more than that. With psychologists becoming more embedded in product development, a new code is needed to account for the unforeseen challenges of connected devices, large scale personal data collection, dissemination of misinformation, algorithmic bias, and mass surveillance. We will—we should—see the development of best practices and ethical guidelines around the contributions of behavioral scientists to technology design and development. Training in the new ethical code will become a requirement for social science degrees or to serve as an investigator in IRB-reviewed research. Companies that do not demonstrate adherence to these ethical standards won’t survive in the marketplace as consumers become wise to the ways in which technology can cause them harm. And practitioners who do not abide by the code of ethics will rightly be viewed as unqualified to contribute to design.
",Psychology,Communication,Ethics,Data,,,,,,,,
"Accounting or Accountancy is the measurement, processing, and communication of financial and non financial information about economic entities[1][2] such as businesses and corporations. Accounting, which has been called the ""language of business"",[3] measures the results of an organization's economic activities and conveys this information to a variety of users, including investors, creditors, management, and regulators.[4] Practitioners of accounting are known as accountants. The terms ""accounting"" and ""financial reporting"" are often used as synonyms.

Accounting can be divided into several fields including financial accounting, management accounting, external auditing, tax accounting and cost accounting.[5][6] Accounting information systems are designed to support accounting functions and related activities. Financial accounting focuses on the reporting of an organization's financial information, including the preparation of financial statements, to the external users of the information, such as investors, regulators and suppliers;[7] and management accounting focuses on the measurement, analysis and reporting of information for internal use by management.[1][7] The recording of financial transactions, so that summaries of the financials may be presented in financial reports, is known as bookkeeping, of which double-entry bookkeeping is the most common system",Finance & Accounting,Accounting,Business Education,Business Education,,,,,,,,
"When you do talk to others about the obstacles they’ve faced, start by requesting their permission. If it’s granted, approach with humility and a learning mindset. Good questions include:

I’m curious about the things women/people of color/women of color in this organization find most challenging day-to-day—things that I might not notice. Would you feel comfortable sharing some of what you encounter?
If there was one thing you wish your white male colleagues would do more of to improve the experience of women/people of color/women of color, what would it be?
If there was one thing we could stop doing every day, what would it be?
If you were giving me advice on how to really show up as a colleague to make the workplace fair and welcoming, what would you say?
Recognize that members of an underrepresented group won’t all have the same experiences—especially if they’re from different cohorts. For example, white women’s experiences aren’t necessarily similar to those of women of color, who, all our research shows, are particularly marginalized and silenced in organizations. Don’t generalize from the stories of one or two colleagues.",Social Responsibility,Race,Ethics,Organization,,,,,,,,
"Allies can broaden their impact by joining or forming groups of colleagues interested in fighting racism and gender inequality. Look for like-minded people in all parts of your organization, including other units, satellite and remote locations, and employee resource groups, and then grow your base. Focus your advocacy on evidence-based tactics that will drive small wins within your sphere of influence, and create opportunities to interact through networking, mentoring, and professional development events.
If you’re a senior leader, you should push for organizational change. No matter where your organization is on its DEI journey, you can champion and lend time and energy to designing and implementing antibias, recruitment, and leadership development initiatives that work. Iris Bohnet has found that DEI efforts are most successful when leaders clarify their purpose and goals and are transparent about plans and progress. According to Andrew Behar, the CEO of As You Sow, companies that do this will attract and retain the best and brightest employees and reduce risk to shareholders. And we have observed that effective senior allies not only set an example but also outline expectations for everyone’s behavior and link outcomes to responsibilities and rewards.",Social Responsibility,Sexual Orientation,Gender,,,,,,,,,
"Allies seek out talented protégés from entirely different racial and cultural backgrounds and become their vocal fans. They get to know these colleagues’ strengths and weaknesses, help them develop as leaders, challenge and encourage them, and tout their abilities and achievements whenever new projects, stretch assignments, or promotions are discussed. They nominate protégés on the basis of their potential, without expecting them to prove they can do a job in advance. This usually requires putting some social capital on the line—a risk sponsors need to get more comfortable with. Finally, allies introduce protégés to key players in their own professional networks to open up an even broader set of opportunities for them. In Tsedale’s research, sponsorship was shown to be critical to Black women’s access to significant training, development, and networking opportunities and advancement. Unfortunately, many white men picked protégés who looked just like them. As Fotoula, a fifth-year law associate without a sponsor, noted, “I think where [the lack of mentorship] really played a role was in not having…people to say, ‘Make sure you’re at the event. Make sure you speak up and say this. Make sure that you ask about this,’ or ‘You know what? I heard about a deal that’s happening at such and such. I’m going to make sure this partner knows that you’re interested.’ I’m not saying I was entitled to it,” she continued, “but…I know that would have made a difference.”",Race,Social Responsibility,Networking,Innovation,,,,,,,,
"It is important to emphasize that interior design is a specialized branch of architecture or environmental design; it is equally important to keep in mind that no specialized branch in any field would be very meaningful if practiced out of context. The best buildings and the best interiors are those in which there is no obvious disparity between the many elements that make up the totality. Among these elements are the structural aspects of a building, the site planning, the landscaping, the furniture, and the architectural graphics (signs), as well as the interior details. Indeed, there are many examples of distinguished buildings and interiors that were created and coordinated by one guiding hand. Because of the technological complexity of contemporary planning and building, it is no longer possible for a single architect or designer to be an expert in all the many aspects that make up a modern building. It is essential, however, that the many specialists who make up a team be able to communicate with each other and have sufficient basic knowledge to carry out their common goals. While the architect usually concerns himself with the overall design of buildings, the interior designer is concerned with the more intimately scaled aspects of design, the specific aesthetic, functional, and psychological questions involved, and the individual character of spaces.",Design,Creativity,Technology,,,,,,,,,
"We’ve pondered the question ‘why is financial reporting important?’, looked at real-world use cases, and shared what we consider to be the financial reporting meaning. To continue our journey, let’s consider the key benefits of financially-based reporting and analytics.

Improved debt management: As you know, debt can cripple the progress of any company, regardless of sector. While there may be many different types of financial reporting concerning purpose or software, almost all solutions will help you track your current assets divided by the current liabilities on your balance sheet to help gauge your liquidity and manage your debts accordingly.
Trend identification: Regardless of what area of financial activity you’re looking to track, this kind of reporting will help you identify trends, both past and present, which will empower you to tackle any potential weaknesses while helping you make improvements that will benefit the overall health of your business.
Real-time tracking:  By gaining access to centralized, real-time insights, you will be able to make accurate, informed decisions swiftly, thereby avoiding any potential roadblocks while maintaining your financial fluidity at all times.
Liabilities: Managing your liabilities is a critical part of your company’s ongoing financial health. Business loans, credit lines, credit cards, and credit extended from vendors are all integral liabilities to manage. By using a financial report template, if you're planning to apply for a business expansion loan, you can explore financial statement data and determine if you need to reduce existing liabilities before making an official application.
Progress and compliance: As the information served up by financial reporting software is both accurate and robust, not only does access to this level of analytical reporting offer an opportunity to improve your financial efficiency over time, but it will also ensure you remain 100% compliant – which is essential if you want your business to remain active.
Cash flow: Big or small, an organization’s cash flow is essential to its ongoing financial health. Working with a mix of detailed metrics and KPIs, it’s possible to drill down into cash flow in relation to anticipated profit and liabilities, keeping your monetary movements secure and fluent in the process.
Communication & data access: Any modern financial analysis report worth its salt is accessible to and optimized for a multitude of devices. By gaining unlimited access to essential financial insights and data, you can respond to challenges swiftly while improving internal communication across the board. If everyone understands emerging trends and can share vital financial data, your organization will become more efficient, more innovative, and safeguarded against potential compliance issues or errors.",Financial Analysis,Managing Yourself,Analytics,Finance & Accounting,,,,,,,,
