Topics,Definition
Currency,"A currency in the most specific sense is money in any form when in use or circulation as a medium of exchange, especially circulating banknotes and coins. It is a system of money (monetary units) in common use, especially for people in a nation."
Customer Service,"Customer service is the provision of service to customers before, during, and after a purchase. The perception of success of such interactions is dependent on employees ""who can adjust themselves to the personality of the guest"". It concerns the priority an organization assigns to customer service relative to components such as product innovation and pricing. In this sense, an organization that values good customer service may spend more money in training employees than the average organization or may proactively interview customers for feedback."
Customers,"In sales, commerce and economics, a customer (sometimes known as a client, buyer, or purchaser) is the recipient of a good, service, product or an idea - obtained from a seller, vendor, or supplier via a financial transaction or exchange for money or some other valuable consideration."
Data,"Data are factual information (such as measurements or statistics) used as a basis for reasoning, discussion, or calculation Data are units of information, often numeric, that are collected through observation. In a more technical sense, data are a set of values of qualitative or quantitative variables about one or more persons or objects"
Decision Making,"Decision-making is regarded as the cognitive process resulting in the selection of a belief or a course of action among several possible alternative options, it could be either rational or irrational."
Delegation,"Delegation is the assignment of authority to another person (normally from a manager to a subordinate) to carry out specific activities. It is the process of distributing and entrusting work to another person. Delegation is one of the core concepts of management leadership. The process involves managers deciding which work they should do themselves and which work should be delegated to others for completion. From a managerial standpoint, delegation involves shifting project responsibility to team members, giving them the opportunity to finalize the work product effectively, with minimal intervention. Delegation empowers a subordinate to make decisions."
Demographics,"Demographics is about the number and characteristics of people who live in a particular area or form a particular group, especially in relation to their age, how much money they have and what they spend it on. Demographic data refers to socioeconomic information expressed statistically including employment, education, income, marriage rates, birth and death rates, and more."
Design,"A design is a plan or specification for the construction of an object or system or for the implementation of an activity or process, or the result of that plan or specification in the form of a prototype, product or process.The verb to design expresses the process of developing a design. In some cases, the direct construction of an object without an explicit prior plan (such as in craftwork, some engineering, coding, and graphic design) may also be considered to be a design activity. The design usually has to satisfy certain goals and constraints, may take into account aesthetic, functional, economic, or socio-political considerations, and is expected to interact with a certain environment."
Developing Employees,"Developing Employees is a process of working with employees to improve, enhance, refine and hone existing skills, and to also develop newer ones, in support of the organization’s mission and goals"
Difficult Conversations,"A difficult conversation is any situation where the needs/wants, opinions or perceptions of the involved parties are diverse, with their feelings and emotions running strong."
Disruptive Innovation,"disruptive innovation is an innovation that creates a new market and value network and eventually disrupts an existing market and value network, displacing established market-leading firms, products, and alliances."
Diversity,"Diversity is the range of human differences, including but not limited to race, ethnicity, gender, gender identity, sexual orientation, age, social class, physical ability or attributes, religious or ethical values system, national origin, and political beliefs."
Downsizing,"Downsizing is the permanent reduction of a company's labor force through the elimination of unproductive workers or divisions. Downsizing is a common organizational practice, usually associated with economic downturns and failing businesses."
Economic Development,"Economic Development is the creation of wealth from which community benefits are realized. It is more than a jobs program, it's an investment in growing your economy and enhancing the prosperity and quality of life for all residents."
Economics,"Economics is the social science that studies how people interact with value; in particular, the production, distribution, and consumption of goods and services. Economics focuses on the behaviour and interactions of economic agents and how economies work."
Economics & Society,"Economics & Society is about the questions related to market structure and economic action, financial cultures and technologies, the rise of automation and algorithms, the moral regulation of nations and individuals, old and new forms of labor and labor organization, the economic and political impact of immigration, the transformation of life-styles and subjectivities, the valuation of persons and goods, and the place of economics and economists in social and governmental practices."
Economy,"An economy is an area of the production, distribution and trade, as well as consumption of goods and services by different agents. In general, it is defined 'as a social domain that emphasize the practices, discourses, and material expressions associated with the production, use, and management of resources'."
Education,"Education is the act or process of imparting or acquiring general knowledge, developing the powers of reasoning and judgment, and generally of preparing oneself or others intellectually for mature life, the act or process of imparting or acquiring particular knowledge or skills, as for a profession, a degree, level, or kind of schooling, the result produced by instruction, training, or study, the science or art of teaching."
Emerging Markets,"“Emerging markets” is a term that refers to an economy that experiences considerable economic growth and possesses some, but not all, characteristics of a developed economy. Emerging markets are countries that are transitioning from the “developing” phase to the “developed” phase."
Emotional Intelligence,"Emotional Intelligence is the ability to understand, use, and manage your own emotions in positive ways to relieve stress, communicate effectively, empathize with others, overcome challenges and defuse conflict or refers to the capability of a person to manage and control his or her emotions and possess the ability to control the emotions of others as well. In other words, they can influence the emotions of other people also."
Employee Retention,"Employee retention refers to the ability of an organization to retain its employees. Employee retention can be represented by a simple statistic. However, many consider employee retention as relating to the efforts by which employers attempt to retain the employees in their workforce."
Entrepreneurial Finance,"Entrepreneurial Finance is the study of value and resource allocation, applied to new ventures. It addresses key questions which challenge all entrepreneurs: how much money can and should be raised; when should it be raised and from whom; what is a reasonable valuation of the startup; and how should funding contracts and exit decisions be structured."
Entrepreneurial Management,practice of taking entrepreneurial knowledge and utilizing it for increasing the effectiveness of new business venturing as well as small- and medium-sized businesses.
Entrepreneurship,"Entrepreneurship is the process of creating something new with value by devoting the necessary time and effort, assuming the accompanying financial, psychic and social risks and receiving the resulting rewards of monetary and personal satisfaction and independence. "
Ethics,"Ethics or moral philosophy is a branch of philosophy that ""involves systematizing, defending, and recommending concepts of right and wrong behavior"" .Ethics are formalised principles derived from social value. These are moral principle which originate from social value and represent rules for moral behaviour and conduct of individuals or groups thereof carrying on business.”"
Executive Compensation,Executive compensation is composed of both the financial compensation and other non-financial benefits received by an executive from their employing firm in return for their service.
Experimentation,"An experiment is a procedure carried out to support, refute, or validate a hypothesis. Experiments provide insight into cause-and-effect by demonstrating what outcome occurs when a particular factor is manipulated."
Finance & Accounting,"Financial accounting is the field of accounting concerned with the summary, analysis and reporting of financial transactions related to a business. This involves the preparation of financial statements available for public use."
Financial Analysis,"the process of evaluating businesses, projects, budgets, and other finance-related transactions to determine their performance and suitability. Typically, financial analysis is used to analyze whether an entity is stable, solvent, liquid, or profitable enough to warrant a monetary investment."
Financial Management,"Financial Management means planning, organizing, directing and controlling the financial activities such as procurement and utilization of funds of the enterprise. It means applying general management principles to financial resources of the enterprise."
Financial Markets,"Financial Markets refer broadly to any marketplace where the trading of securities occurs, including the stock market, bond market, forex market, and derivatives market, among others."
Firing,"Firing ort Termination of employment is an employee's departure from a job and the end of an employee's duration with an employer. Termination may be voluntary on the employee's part, or it may be at the hands of the employer, often in the form of dismissal or a layoff."
Forecasting,Forecasting is a technique that uses historical data as inputs to make informed estimates that are predictive in determining the direction of future trends. 
Founders,"Founder is someone who founds or establishes an organization.The founder of an institution, organization, or building is the person who got it started or caused it to be built, often by providing the necessary money."
Gender,"Gender consists either of the two sexes (male and female), especially when considered with reference to social and cultural differences rather than biological ones. The term is also used more broadly to denote a range of identities that do not correspond to established ideas of male and female."
Generational Issues,"Differences and disconnect between generations, or the generation gap, can result in a variety of issues, such as miscommunication and family strife."
Giving Feedback,"Feedback is a way of learning for each and every person of the organization. It is a two-way process in which everyone tries to learn something positive from the other person's suggestions. It is all about mutual understanding, respecting each other's opinions, and learning something from each other's experiences."
Global Strategy,"A global strategy is one that a company takes when it wants to compete and expand in the global market. In other words, a strategy businesses pursue when they wish to expand internationally. A global strategy refers to the plans an organization has developed to target growth beyond its borders. Specifically, it aims to increase the sales of goods or services abroad."
Globalization,"Globalization, or globalisation is the process of interaction and integration among people, companies, and governments worldwide. Globalization has accelerated since the 18th century due to advances in transportation and communication technology. This increase in global interactions has caused a growth in international trade and the exchange of ideas, beliefs, and culture. Globalization is primarily an economic process of interaction and integration that is associated with social and cultural aspects. "
Government,"A government is the system or group of people governing an organized community, generally a state. In the case of its broad associative definition, government normally consists of legislature, executive, and judiciary."
Growth Strategy,"A growth strategy is an organization's plan for overcoming current and future challenges to realize its goals for expansion. Examples of growth strategy goals include increasing market share and revenue, acquiring assets, and improving the organization's products or services."
Health,"Health is a state of physical, mental and social well-being in which disease and infirmity are absent. A resource for everyday life, not the objective of living. Health is a positive concept emphasizing social and personal resources, as well as physical capacities."
Hiring,"Hiring refers to the overall process of identifying, attracting, screening, shortlisting, and interviewing suitable candidates for jobs within an organization. Recruitment can also refer to processes involved in choosing individuals for unpaid roles."
Human Resource Management,Human resource management is the strategic approach to the effective management of people in a company or organization such that they help their business gain a competitive advantage. It is designed to maximize employee performance in service of an employer's strategic objectives.
Influence,"Influence is the capacity to have an effect on the actions, opinions character, development, or behaviour of someone or something, or the effect itself."
Informal Leadership,"An informal leader is an individual within an organization who is worth listening to because of their perceived experience and reputation among peers. They influence the decisions of others, although they hold no formal position of authority and have no power over those who choose to follow their lead."
Innovation,Innovation is the practical implementation of ideas that result in the introduction of new goods or services or improvement in offering goods or services.
Intellectual Property,"Intellectual property is a category of property that includes intangible creations of the human intellect. There are many types of intellectual property, and some countries recognize more than others. The most well-known types are copyrights, patents, trademarks, and trade secrets."
International Business,"International business refers to the trade of goods, services, technology, capital and/or knowledge across national borders and at a global or transnational scale. It involves cross-border transactions of goods and services between two or more countries."
Internet,"The Internet is a vast network that connects computers all over the world. Through the Internet, people can share information and communicate from anywhere with an Internet connection."
IPO,An initial public offering or stock market launch is a public offering in which shares of a company are sold to institutional investors and usually also retail investors.
IT,"IT refers to anything related to computing technology, such as networking, hardware, software, the Internet, or the people that work with these technologies."
Job Search,"Job search or Job seeking or job searching is the act of looking for employment, due to unemployment, underemployment, discontent with a current position, or a desire for a better position."
Joint Ventures,"A joint venture is a business entity created by two or more parties, generally characterized by shared ownership, shared returns and risks, and shared governance"
Knowledge Management,"Knowledge management is the process of creating, sharing, using and managing the knowledge and information of an organization. It refers to a multidisciplinary approach to achieve organisational objectives by making the best use of knowledge."
Labor,"Labor, usually referred to as paid work, paid employment, or paid labour, refers to the socioeconomic relationship between a worker and an employer in which the worker sells their labour power under a formal or informal employment contract."
Leadership,"Leadership is both a research area, and a practical skill encompassing the ability of an individual, group or organization to ""lead"", influence or guide other individuals, teams, or entire organizations."
Leadership & Managing People,"A practical skill encompassing the ability of an individual, group or organization to ""lead"", influence or guide other individuals, teams, or entire organizations. Managing people is the ability to understand and know what each of their subordinate employee's tasks are and how to work with each employee in working toward successful completion of such tasks."
Leadership Development,"Leadership development is the process which helps expand the capacity of individuals to perform in leadership roles within organizations. Leadership roles are those that facilitate execution of an organization's strategy through building alignment, winning mindshare and growing the capabilities of others"
Leadership Transitions,"Leadership Transitions refers to significant change in a leader's role caused by promotion, secondment, changing organisations, merger, acquisition, restructure or returning from maternity/paternity/career leave."
Leading Teams,"Leading teams involves providing guidance, instruction, direction and leadership to a group of individuals (the team) for the purpose of achieving a key result or group of aligned results. "
Managing Organizations,Organization management refers to the art of getting people together on a common platform to make them work towards a common predefined goal. Organization management enables the optimum use of resources through meticulous planning and control at the workplace.
Managing People,"People management is the process of training, motivating and directing employees to optimize workplace productivity and promote professional growth. Workplace leaders, such as team leads, managers and department heads use people management to oversee workflow and boost employee performance every day."
Managing Uncertainty,"Management of Uncertainty examines the necessity of living with technical and organizational uncertainties, or even taking advantage of them without losing the stability created by reducing uncertainty."
Managing Up,"Managing up refers to being the most effective employee you can be, creating value for your boss and your company."
Managing Yourself,"learning how to work with others in a productive and profitable way. It also means being focused on making your practice more profitable, keeping your clients happy, and doing excellent work. This takes constant self-monitoring and self-managing."
Manufacturing,"Manufacturing is the production of goods through the use of labor, machines, tools, and chemical or biological processing or formulation. It is the essence of secondary sector of the economy."
Market Research,"Market research is an organized effort to gather information about target markets and customers: know about them, starting with who they are. It is a very important component of business strategy and a major factor in maintaining competitiveness."
Marketing,"Marketing refers to activities a company undertakes to promote the buying or selling of a product, service, or good. It is one of the primary components of business management and commerce."
Meetings,"A meeting is when two or more people come together to discuss one or more topics, often in a formal or business setting, but meetings also occur in a variety of other environments."
Mergers & Acquisitions,"In corporate finance, mergers and acquisitions are transactions in which the ownership of companies, other business organizations, or their operating units are transferred or consolidated with other entities."
Mobile,"Mobile phone, cellular phone, cell phone, cellphone, handphone, or hand phone, sometimes shortened to simply mobile, cell or just phone, is a portable telephone that can make and receive calls over a radio frequency link while the user is moving within a telephone service area."
Motivating People,Motivating people is about moving people to act in a way that achieves a specific and immediate goal.
National Competitiveness,"The concept “national competitiveness” examines the ability of a national economy to grow. It is measured by a set of factors, policies, and institutions that determine a country's level of productivity."
Negotiations,Negotiation is a dialogue between two or more people or parties intended to reach a beneficial outcome over one or more issues where a conflict exists with respect to at least one of these issues.
Networking,"Networking is the exchange of information or services among individuals, groups, or institutions. Networking is a socioeconomic business activity by which businesspeople and entrepreneurs meet to form business relationships and to recognize, create, or act upon business opportunities, share information and seek potential partners for ventures."
Operations,"Operations are performance of a practical work or of something involving the practical application of principles or processes.Operations are the business activities that a firm engages in to convert materials into finished products or services, sell them to customers, and earn a profit."
Operations Management,"Operations Management is primarily concerned with planning, organizing and supervising in the contexts of production, manufacturing or the provision of services."
Organizational Culture,"Organizational Culture is the collection of values, expectations, and practices that guide and inform the actions of all team members. Think of it as the collection of traits that make your company what it is."
Organizational Structure,"Organizational Structure is a way or method by which. organizational activities are divided, organized and coordinated. The organizations created the structures to coordinate the. activities of work factors and control the member performance. Organizational structure is shown in organizational chart."
Performance Measurement,"Performance measurement is the process of collecting, analyzing and/or reporting information regarding the performance of an individual, group, organization, system or component."
Personnel Policies,"Personnel Policies are the rules that govern how to deal with a human resources or personnel related situation. They are guidelines to decision making that help keep the system as fair and unbiased as possible.
"
Policy,"A policy is a deliberate system of principles to guide decisions and achieve rational outcomes. A policy is a statement of intent, and is implemented as a procedure or protocol."
Presentations,"A presentation conveys information from a speaker to an audience. Presentations are typically demonstrations, introduction, lecture, or speech meant to inform, persuade, inspire, motivate, build goodwill, or present a new idea/product."
Pricing,"Pricing is the process whereby a business sets the price at which it will sell its products and services, and may be part of the business's marketing plan."
Product Development,Product development typically refers to all of the stages involved in bringing a product from concept or idea through market release and beyond.
Productivity,"Productivity is the efficiency of production of goods or services expressed by some measure. Measurements of productivity are often expressed as a ratio of an aggregate output to a single input or an aggregate input used in a production process, i.e. output per unit of input, typically over a specific period of time."
Professional Transitions,Professional Transitions refers to the process by which an individual changes from one job to another within the same job family; and it may also refer to a more dramatic career change from one occupational category to an entirely different one.
Project Management,Project Management is the process of leading the work of a team to achieve goals and meet success criteria at a specified time.
Psychology,"Psychology is the science of mind and behavior. Psychology includes the study of conscious and unconscious phenomena, as well as feeling and thought. It is an academic discipline of immense scope."
Public Relations,The professional maintenance of a favourable public image by a company or other organization or a famous person is called Public Relations. The state of the relationship between a company or other organization or a famous person and the public.
Public-Private Partnerships,"A public–private partnership is a cooperative arrangement between two or more public and private sectors, typically of a long-term nature. In other words, it involves government and business that work together to complete a project and/or to provide services to the population"
Race,A race is a grouping of humans based on shared physical or social qualities into categories generally viewed as distinct by society
Receiving Feedback,"Receiving Feedback is receiving helpful information or criticism that is taken from someone to understand what can be done to improve a performance, product, etc. Hear the person out, and listen to what they are really saying, not what you assume they will say."
Recession,"Recession is a period of temporary economic decline during which trade and industrial activity are reduced, generally identified by a fall in GDP in two successive quarters."
Regulation,"Regulation is the management of complex systems according to a set of rules and trends. In systems theory, these types of rules exist in various fields of biology and society, but the term has slightly different meanings according to context."
Reorganization,"Reorganization is the action or process of changing the way in which something is organized.In Business, Reorganisation is the process of reorganising an organisation facing financial difficulty in order to revitalise it. Restructuring means changing the structure or even ownership of an organisation through mergers, consolidation, or by selling it. Reorganisation is an important step for a company because it offers potential to capitalise on new opportunities and increase profits."
Research & Development,"Research and development, known in Europe as research and technological development, is the set of innovative activities undertaken by corporations or governments in developing new services or products and improving existing ones."
Retirement,Retirement is the withdrawal from one's position or occupation or from one's active working life. A person may also semi-retire by reducing work hours or workload. Many people choose to retire when they are old or incapable of doing their job.
Risk Management,"Risk management is the identification, evaluation, and prioritization of risks followed by coordinated and economical application of resources to minimize, monitor, and control the probability or impact of unfortunate events or to maximize the realization of opportunities."
Sales,Sales are activities related to selling or the number of goods sold in a given targeted time period. The delivery of a service for a cost is also considered a sale
Sales & Marketing,"Sales include “operations and activities involved in promoting and selling goods or services.” Marketing includes “the process or technique of promoting, selling, and distributing a product or service.”"
Security & Privacy,"Security is about the safeguarding of data and protection against the unauthorized access of data, whereas privacy is about the safeguarding of user identity."
Sexual Orientation,"Sexual orientation is an enduring pattern of romantic or sexual attraction to persons of the opposite sex or gender, the same sex or gender, or to both sexes or more than one gender."
Shared Value,Shared Value or organizational values are usually developed by the organization's leadership and then adopted by the other members of the organization. The values are shared and followed by all members of the organization when acting on behalf of the organization
Social Enterprise,"Social enterprises are businesses that trade to intentionally tackle social problems, improve communities, provide people access to employment and training, or help the environment."
Social Platforms,"Social Platforms or Social media are interactive technologies that allow the creation or sharing/exchange of information, ideas, career interests, and other forms of expression via virtual communities and networks"
Social Responsibility,Social responsibility is an ethical framework and suggests that an individual has an obligation to work and cooperate with other individuals and organizations for the benefit of society at large.
Strategic Planning,"Strategic planning is an organization's process of defining its strategy, or direction, and making decisions on allocating its resources to pursue this strategy. It may also extend to control mechanisms for guiding the implementation of the strategy."
Strategic Thinking,Strategic thinking is defined as a mental or thinking process applied by an individual in the context of achieving a goal or set of goals in a game or other endeavor.
Strategy,Strategy is a general plan to achieve one or more long-term or overall goals under conditions of uncertainty.
Strategy Execution,"Strategy Execution is the implementation of a strategic plan in an effort to reach organizational goals. It comprises the daily structures, systems, and operational goals that set your team up for success."
Stress,"stress is a feeling of emotional strain and pressure. Stress is a type of psychological pain. Small amounts of stress may be desired, beneficial, and even healthy. Excessive amounts of stress, however, may lead to bodily harm. Stress can be external and related to the environment, but may also be caused by internal perceptions that cause an individual to experience anxiety or other negative emotions surrounding a situation, such as pressure, discomfort, etc., which they then deem stressful."
Succession Planning,"Succession planning is a process for identifying and developing new leaders who can replace old leaders when they leave, retire or die. Here the planning is usually a close process, so that those who have been selected are not likely to know that they are on a succession list or chat."
Supply Chain,"A supply chain is a network between a company and its suppliers to produce and distribute a specific product to the final buyer. This network includes different activities, people, entities, information, and resources. The supply chain also represents the steps it takes to get the product or service from its original state to the customer."
Sustainability,Sustainability is the capacity to maintain in an ongoing way across various domains of life.
Talent Management,"Talent management is a constant process that involves attracting and retaining high-quality employees, developing their skills, and continuously motivating them to improve their performance.The primary purpose of talent management is to create a motivated workforce who will stay with your company in the long run."
Technology,"Technology is the sum of techniques, skills, methods, and processes used in the production of goods or services or in the accomplishment of objectives, such as scientific investigation."
Time Management,"Time management is the process of planning and exercising conscious control of time spent on specific activities, especially to increase effectiveness, efficiency, and productivity."
Transparency,"Transparency, as used in science, engineering, business, the humanities and in other social contexts, is operating in such a way that it is easy for others to see what actions are performed. Transparency implies openness, communication, and accountability."
Venture Capital,"Venture capital is a form of private equity financing that is provided by venture capital firms or funds to startups, early-stage, and emerging companies that have been deemed to have high growth potential or which have demonstrated high growth."
Work-Life Balance,Work–life balance is the equilibrium between personal life and career work
Workspaces,"Workspace refers to small premises provided, often by local authorities or economic development agencies, to help new businesses to establish themselves. These typically provide not only physical space and utilities but also administrative services and links to support and finance organizations, as well as peer support among the tenants. A continuum of sophistication ranges through categories such as 'managed workspaces', 'business incubators' and 'business and employment co-operatives'. In cities, they are often set up in buildings that are disused but which the local authority wishes to retain as a landmark. At the larger end of the spectrum are business parks, virtual offices, technology parks and science parks."
