,Top 10 Topics,Time
11,"['Customer Service', 'Emotional Intelligence', 'Managing Yourself', 'Social Enterprise', 'Auditing', 'Crisis Communication', 'Competition', 'Job Search', 'Collaboration', 'Entrepreneurship']",0 days 00:00:00.315998
12,"['Emotional Intelligence', 'Stress', 'Behavioral Economics', 'Business Law', 'Giving Feedback', 'Personnel Policies', 'Downsizing', 'Difficult Conversations', 'Transparency', 'Crisis Communication']",0 days 00:00:00.455001
13,"['Giving Feedback', 'Transparency', 'Competition', 'Boards', 'Emotional Intelligence', 'Delegation', 'Collaboration', 'Firing', 'Receiving Feedback', 'Intellectual Property']",0 days 00:00:00.401000
14,"['Giving Feedback', 'Sexual Orientation', 'Negotiations', 'Emotional Intelligence', 'Difficult Conversations', 'Receiving Feedback', 'Conflict', 'Customer Service', 'Generational Issues', 'Transparency']",0 days 00:00:00.347999
15,"['Economics & Society', 'Informal Leadership', 'Creativity', 'Psychology', 'Competition', 'Emotional Intelligence', 'Behavioral Economics', 'Diversity', 'Giving Feedback', 'Public Relations']",0 days 00:00:00.368999
16,"['Business Processes', 'Networking', 'Customer Service', 'Social Enterprise', 'Marketing', 'Collaboration', 'Employee Retention', 'Human Resource Management', 'Competition', 'Market Research']",0 days 00:00:00.268998
17,"['Business Processes', 'Creativity', 'Customer Service', 'Market Research', 'Social Enterprise', 'Managing Yourself', 'Human Resource Management', 'Entrepreneurial Management', 'Business Education', 'Competitive Strategy']",0 days 00:00:00.284999
18,"['Customer Service', 'Social Enterprise', 'Managing Yourself', 'Auditing', 'Job Search', 'Business Law', 'Competition', 'Human Resource Management', 'Downsizing', 'Firing']",0 days 00:00:00.269000
19,"['Downsizing', 'Managing Yourself', 'Psychology', 'Auditing', 'Creativity', 'Operations', 'Stress', 'Intellectual Property', 'Risk Management', 'Managing Uncertainty']",0 days 00:00:00.291998
20,"['Creativity', 'Succession Planning', 'Analytics', 'Disruptive Innovation', 'Forecasting', 'Retirement', 'Competition', 'Job Search', 'Strategy', 'Economics & Society']",0 days 00:00:00.357000
21,"['Globalization', 'Business Education', 'Collaboration', 'Venture Capital', 'Research & Development', 'Analytics', 'Disruptive Innovation', 'Social Enterprise', 'Operations', 'Business Processes']",0 days 00:00:00.487998
22,"['Creativity', 'Collaboration', 'Analytics', 'Behavioral Economics', 'Economics & Society', 'Emotional Intelligence', 'Intellectual Property', 'Competition', 'Business Processes', 'Social Enterprise']",0 days 00:00:01.776613
23,"['Business Writing', 'Creativity', 'Design', 'Customer Service', 'Analytics', 'Business Processes', 'Branding', 'Emotional Intelligence', 'Competitive Strategy', 'Marketing']",0 days 00:00:00.508974
24,"['Job Search', 'Stress', 'Managing Yourself', 'Social Enterprise', 'Motivating People', 'Collaboration', 'Competition', 'Creativity', 'Emotional Intelligence', 'Giving Feedback']",0 days 00:00:00.529005
25,"['Creativity', 'Economics & Society', 'Psychology', 'Competition', 'Behavioral Economics', 'Intellectual Property', 'Managing Yourself', 'Job Search', 'Collaboration', 'Downsizing']",0 days 00:00:00.642999
26,"['Competition', 'Creativity', 'Collaboration', 'Informal Leadership', 'Analytics', 'Human Resource Management', 'Job Search', 'Succession Planning', 'Public Relations', 'Global Strategy']",0 days 00:00:01.606377
27,"['Business Processes', 'Collaboration', 'Marketing', 'Customer Service', 'Transparency', 'Competitive Strategy', 'Change Management', 'Business History', 'Analytics', 'Organizational Culture']",0 days 00:00:00.635999
28,"['Firing', 'Generational Issues', 'Gender', 'Giving Feedback', 'Economics & Society', 'Corporate Communications', 'Retirement', 'Professional Transitions', 'Informal Leadership', 'Psychology']",0 days 00:00:00.412000
29,"['Globalization', 'Internet', 'Social Platforms', 'Disruptive Innovation', 'Research & Development', 'Transparency', 'Social Enterprise', 'Analytics', 'Competition', 'Business Education']",0 days 00:00:00.728000
30,"['Social Platforms', 'Leadership Development', 'Change Management', 'Research & Development', 'Career Planning', 'Entrepreneurial Management', 'Developing Employees', 'Venture Capital', 'Presentations', 'Social Enterprise']",0 days 00:00:00.472001
31,"['Giving Feedback', 'Presentations', 'Leadership Development', 'Innovation', 'Cross-Cultural Management', 'Social Platforms', 'Leading Teams', 'Career Planning', 'Collaboration', 'Customer Service']",0 days 00:00:00.721001
32,"['Creativity', 'Intellectual Property', 'Psychology', 'Analytics', 'Economics & Society', 'Globalization', 'Research & Development', 'Customer Service', 'Regulation', 'Technology']",0 days 00:00:00.733998
33,"['Analytics', 'Collaboration', 'Experimentation', 'Competition', 'Productivity', 'Creativity', 'Technology', 'Managing Uncertainty', 'Balanced Scorecard', 'Communication']",0 days 00:00:00.886957
34,"['Downsizing', 'Behavioral Economics', 'Economics', 'Customers', 'Competition', 'Recession', 'Budgeting', 'Auditing', 'Risk Management', 'Financial Analysis']",0 days 00:00:00.667001
35,"['Business Processes', 'Change Management', 'Business Education', 'Networking', 'Entrepreneurial Management', 'Disruptive Innovation', 'Globalization', 'Market Research', 'Research & Development', 'Social Enterprise']",0 days 00:00:00.678999
36,"['Marketing', 'Customer Service', 'Market Research', 'Competitive Strategy', 'Business Processes', 'Branding', 'Pricing', 'Networking', 'Customers', 'Entrepreneurial Management']",0 days 00:00:00.815998
37,"['Customer Service', 'Organizational Culture', 'Change Management', 'Marketing', 'Pricing', 'Entrepreneurship', 'Economics', 'Entrepreneurial Finance', 'Economy', 'Business Processes']",0 days 00:00:00.806997
38,"['Behavioral Economics', 'Research & Development', 'Customer Service', 'Intellectual Property', 'Human Resource Management', 'Analytics', 'Business Processes', 'Collaboration', 'Education', 'Social Platforms']",0 days 00:00:00.817998
39,"['Accounting', 'Finance & Accounting', 'Economics', 'International Business', 'Economy', 'Costs', 'Financial Analysis', 'Auditing', 'Business Law', 'Budgeting']",0 days 00:00:00.634009
40,"['Giving Feedback', 'Corporate Communications', 'Collaboration', 'Transparency', 'Meetings', 'Gender', 'Customer Service', 'Coaching', 'Crisis Communication', 'Informal Leadership']",0 days 00:00:00.645834
41,"['Collaboration', 'Leadership & Managing People', 'Human Resource Management', 'Social Enterprise', 'Social Platforms', 'Leadership', 'Social Responsibility', 'Customer Service', 'Managing People', 'Career Planning']",0 days 00:00:00.820127
42,"['Collaboration', 'Networking', 'Informal Leadership', 'Social Platforms', 'Human Resource Management', 'Social Enterprise', 'Hiring', 'Customer Service', 'Competition', 'Corporate Communications']",0 days 00:00:00.726999
43,"['Economics & Society', 'Analytics', 'Business Education', 'Leadership & Managing People', 'Collaboration', 'Business Processes', 'Coaching', 'Leadership', 'Customer Service', 'Business Writing']",0 days 00:00:01.099491
44,"['Financial Analysis', 'Risk Management', 'Business Models', 'Auditing', 'Costs', 'Finance & Accounting', 'Entrepreneurship', 'Change Management', 'Entrepreneurial Finance', 'Managing Yourself']",0 days 00:00:00.797998
